Date,No.,N / S,C / Rn,C / Rs,C / R,Wolf,                                                       Notes
12 Feb 1854,20,S,,16,,,
12 Feb 1854,21,S,,12,,,Tiny spots - W missed / did not count?
12 Feb 1854,22,S,,17,45,35,
13 Feb 1854,20,S,,11,,,
13 Feb 1854,22,S,,16,27,28,
14 Feb 1854,22,S,,23,23,17,
16 Feb 1854,22,S,,17,17,22,
18 Feb 1854,22,S,,21,21,22,
21 Feb 1854,23,S,,12,12,0,
23 Feb 1854,,,,,0,0,
25 Feb 1854,,,,,0,0,
26 Feb 1854,,,,,0,0,
27 Feb 1854,,,,,0,0,
28 Feb 1854,,,,,0,0,
,,,,,,,"Rn = 2.8, Rs = 14.1, R = 16.9."
1 Mar 1854,24,N,12,,12,12,
4 Mar 1854,,,,,0,0,
5 Mar 1854,,,,,0,0,
6 Mar 1854,,,,,0,0,
9 Mar 1854,25,N,12,,12,11,
11 Mar 1854,25,N,34,,,,
11 Mar 1854,26,S,,13,47,45,
12 Mar 1854,25,N,30,,,,
12 Mar 1854,26,S,,11,41,44,
13 Mar 1854,25,N,22,,,,
13 Mar 1854,26,S,,14,36,39,
17 Mar 1854,27,N,14,,,,
17 Mar 1854,29,N,12*,,26,32,*No drawing of 29 - v close to limb - 2 positions measured by C.
21 Mar 1854,27,N,12,,,,
21 Mar 1854,29,N,12,,24,27,
22 Mar 1854,29,N,11,,11,25,
26 Mar 1854,28,S,,12,,,
26 Mar 1854,29,N,11,,23,29,
27 Mar 1854,28,S,,11*,,,"No drawing today, only one position measured."
27 Mar 1854,29,N,11,,22,33,
28 Mar 1854,,,,,0,35,
31 Mar 1854,31,N,11*,,11,11,*On limb - no drawing - only one position measured.
,,,,,,,"Rn = 13.6, Rs = 4.1, R = 17.7."
1 Apr 1854,31,N,12,,12,15,
2 Apr 1854,31,N,12,,12,12,
5 Apr 1854,31,N,12,,,,
5 Apr 1854,32,N,11,,23,38,
6 Apr 1854,31,N,12,,,,
6 Apr 1854,32,N,11,,,,
6 Apr 1854,33,S,,11,34,49,
8 Apr 1854,31,N,17,,,,
8 Apr 1854,32,N,11,,,,
8 Apr 1854,34,N,11,,,,
8 Apr 1854,30,N,11,,50,56,
21 Apr 1854,35,S,,11,,,
21 Apr 1854,36,N,11,,22,25,
24 Apr 1854,35,S,,11,,,
24 Apr 1854,36,N,11,,22,14,
29 Apr 1854,37,N,11,,11,0,
,,,,,,,"Rn = 19.1, Rs = 4.1, R = 23.2."
2 May 1854,37,N,12,,,,
2 May 1854,38,N,11,,23,38,
4 May 1854,37,N,11,,,,
4 May 1854,38,N,11,,22,34,
9 May 1854,38,N,11,,,,
9 May 1854,39,N,14,,,,
9 May 1854,40,N,15,,40,46,
10 May 1854,39,N,11,,,,
10 May 1854,40,N,14,,,,
10 May 1854,41,S,,11*,36,54,*41 on limb - not drawn today - only one spot measured.
12 May 1854,40,N,27,,,,
12 May 1854,41,S,,16,43,47,
14 May 1854,40,N,16,,,,
14 May 1854,41,S,,13,29,49,???!!!
16 May 1854,40,N,12,,,,
16 May 1854,41,S,,12,24,28,
17 May 1854,41,S,,15,15,22,
20 May 1854,41,S,,12,12,11,"Only one spot drawn in 41 today, but two measured."
23 May 1854,42,S,,12,12,13,On rotation drawing.
24 May 1854,,,,,0,0,
26 May 1854,,,,,0,0,
28 May 1854,43,N,11,,11,0,On rotation drawing.
30 May 1854,,,,,0,0,
31 May 1854,44,N,18,,18,0,Missed / not counted by Wolf?
,,,,,,,"Rn = 12.9, Rs = 6.1, R = 19.0."
1 Jun 1854,44,N,18,,18,21,
4 Jun 1854,44,N,17,,,,
4 Jun 1854,45,N,12,,,,
4 Jun 1854,46,N,11,,40,41,
10 Jun 1854,47,N,15,,15,17,"No spot here on rotation drawing, but unid. group of 5 spots plotted in wrong place."
13 Jun 1854,48,N,11*,,11,29,Shown on chart for Rotation 9. Exceptionally low latitude.
14 Jun 1854,,,,,0,11,
17 Jun 1854,49,N,14,,14,14,
22 Jun 1854,50,N,11,,,,
22 Jun 1854,51,S,,11,22,23,
23 Jun 1854,50,N,11,,,,
23 Jun 1854,51,S,,11,22,23,
24 Jun 1854,50,N,12,,,,
24 Jun 1854,51,S,,11,23,23,
25 Jun 1854,50,N,12,,,,
25 Jun 1854,51,S,,12,24,22,
26 Jun 1854,50,N,12,,,,
26 Jun 1854,51,S,,11,23,22,
27 Jun 1854,50,N,11,,,,
27 Jun 1854,51,S,,12,23,22,
28 Jun 1854,50,N,11,,,,
28 Jun 1854,51,S,,11,22,22,
29 Jun 1854,50,N,11,,,,
29 Jun 1854,51,S,,12,23,16,
30 Jun 1854,50,N,12,,,,
30 Jun 1854,51,S,,11,23,22,
,,,,,,,"Rn = 13.4, Rs = 6.8, R = 20.2."
2 Jul 1854,51,S,,11,11,16,
4 Jul 1854,52,S,,11,11,29,52 shown on rotation drawing.
16 Jul 1854,,,,,0,0,
17 Jul 1854,,,,,0,0,
18 Jul 1854,55,N,13,,13,16,Where is 53?
19 Jul 1854,54,S,,11,,,54 shown on rotation drawing.
19 Jul 1854,55,N,13,,24,17,
20 Jul 1854,55,N,15,,15,17,
21 Jul 1854,55,N,15,,15,30,?
22 Jul 1854,55,N,25,,,,
22 Jul 1854,56,N,12,,37,32,
23 Jul 1854,55,N,22,,,,
23 Jul 1854,56,N,12,,34,33,
24 Jul 1854,55,N,22,,22,22,
25 Jul 1854,55,N,18,,18,15,
27 Jul 1854,55,N,12,,12,16,
29 Jul 1854,57,S,,12,12,12,
30 Jul 1854,57,S,,12,12,13,
,,,,,,,"Rn = 11.9, Rs = 3.8, R = 15.7."
1 Aug 1854,57,S,,14,14,13,
2 Aug 1854,57,S,,14,14,16,
6 Aug 1854,57,S,,18,18,20,
7 Aug 1854,57,S,,15,15,19,
8 Aug 1854,57,S,,14,,,
8 Aug 1854,58,N,11*,,25,27,"*No drawing of 58 today - very near limb.  C's note: ""a normal single spot""."
10 Aug 1854,58,N,11,,11,14,
11 Aug 1854,58,N,11,,11,16,
13 Aug 1854,58,N,12*,,12,12,"*Drawing not clear, but presence of 2 measures by C seems to confirm 2 umbrae."
14 Aug 1854,58,N,11,,11,12,
16 Aug 1854,58,N,11,,11,11,
18 Aug 1854,58,N,11,,11,11,
19 Aug 1854,58,N,11*,,11,11,No drawing today - close to limb.
20 Aug 1854,58,N,11*,,11,11,No drawing today - very close to limb.
22 Aug 1854,,,,,0,0,
24 Aug 1854,,,,,0,0,
25 Aug 1854,59,S,,11,11,23,Did C miss first appearance of 60?
26 Aug 1854,59,S,,11,11,24,
27 Aug 1854,59,S,,11,,,
27 Aug 1854,60,N,13,,24,25,
28 Aug 1854,59,S,,11,,,
28 Aug 1854,60,N,15,,26,25,
29 Aug 1854,59,S,,11,,,
29 Aug 1854,60,N,11,,22,24,
30 Aug 1854,59,S,,11,11,22,
31 Aug 1854,59,S,,11,11,34,
,,,,,,,"Rn = 6.3, Rs = 6.9, R = 13.2."
1 Sep 1854,59,S,,11,,,
1 Sep 1854,61,N,11,,22,22,"61 shown on rotation drawing.  C notes: ""a single small dot seen twice only""."
4 Sep 1854,61,N,11,,,,
4 Sep 1854,63,N,11*,,22,11,*No drawing of 63 today - on limb.
6 Sep 1854,63,N,19,,19,17,
7 Sep 1854,63,N,24,,24,17,
8 Sep 1854,63,N,18,,,,
8 Sep 1854,64,S,,16,34,34,
10 Sep 1854,63,N,21,,,,
10 Sep 1854,64,S,,20,41,46,
11 Sep 1854,62,N,14,,,,
11 Sep 1854,63,N,15,,,,
11 Sep 1854,64,S,,25,54,57,
12 Sep 1854,62,N,14,,,,
12 Sep 1854,63,N,12,,,,
12 Sep 1854,64,S,,22,48,51,64 difficult to interpret even after inspecting C's whole disc drawing.
15 Sep 1854,63,N,11,,,,"No drawing of 63 today, but 1 spot measured."
15 Sep 1854,64,S,,19,30,37,
21 Sep 1854,,,,,0,0,
22 Sep 1854,,,,,0,0,
25 Sep 1854,65,S,,11,11,16,No daily drawing.  Rotation drawing shows 2 spots.  Only one measure today.
26 Sep 1854,65,S,,11,,,
26 Sep 1854,66,N,11,,22,28,"66 very near limb - no daily drawing, but C notes: ""a single normal spot""."
27 Sep 1854,66,N,11,,11,23,
28 Sep 1854,66,N,11,,,,
28 Sep 1854,67,N,11,,22,12,67 very near limb.
29 Sep 1854,66,N,12,,,,
29 Sep 1854,67,N,11,,23,24,
30 Sep 1854,66,N,11,,,,
30 Sep 1854,67,N,12,,23,23,
,,,,,,,"Rn = 15.9, Rs = 8.0, R = 23.9."
1 Oct 1854,66,N,12,,,,
1 Oct 1854,67,N,14,,26,23,
2 Oct 1854,66,N,17,,,,
2 Oct 1854,67,N,12,,29,35,
19 Oct 1854,,,,,0,0,
20 Oct 1854,,,,,0,11,
21 Oct 1854,,,,,0,0,
22 Oct 1854,,,,,0,0,
24 Oct 1854,68,S,,11,11,0,
25 Oct 1854,,,,,0,0,
31 Oct 1854,69,N,11,,11,13,
,,,,,,,"Rn = 7.3, Rs = 1.3, R = 8.6."
1 Nov 1854,69,N,13,,13,13,
3 Nov 1854,69,N,13,,13,16,
6 Nov 1854,69,N,12,,12,16,
9 Nov 1854,69,N,11,,11,14,
11 Nov 1854,70,N,15,,15,16,
15 Nov 1854,70,N,30,,30,20,
22 Nov 1854,71,S,,16,16,62,
23 Nov 1854,71,S,,15,,,
23 Nov 1854,72,S,,20,,,
23 Nov 1854,73,N,11,,46,59,
27 Nov 1854,72,S,,31,,,
27 Nov 1854,73,N,12,,43,28,
29 Nov 1854,72,S,,18,,,
29 Nov 1854,73,N,15,,33,29,
30 Nov 1854,72,S,,12,,,
30 Nov 1854,73,N,17,,29,33,
,,,,,,,"Rn = 13.5, Rs = 10.2, R = 23.7."
4 Dec 1854,,,,,0,0,
6 Dec 1854,,,,,0,32,
12 Dec 1854,74,N,11,,,,
12 Dec 1854,75,S,,16,27,31,
16 Dec 1854,74,N,11,,,,
16 Dec 1854,75,S,,15,26,18,
27 Dec 1854,,,,,0,32,
28 Dec 1854,,,,,0,0,
,,,,,,,"Rn = 3.7, Rs = 5.1, R = 8.8."
3 Jan 1855,,,,,0,0,
5 Jan 1855,,,,,0,0,
10 Jan 1855,76,S,0,14,,,
10 Jan 1855,77,N,11,0,25,44,
11 Jan 1855,77,N,12,0,,,
11 Jan 1855,79,S,0,11,23,24,
13 Jan 1855,79,S,0,17,17,24,
14 Jan 1855,78,S,0,12,,,
14 Jan 1855,79,S,0,24,36,36,
17 Jan 1855,79,S,0,35,35,20,
18 Jan 1855,79,S,0,33,,,
18 Jan 1855,80,N,11,0,44,20,80 missed by Wolf? - C saw it very close to limb today.
21 Jan 1855,79,S,0,26,,,
21 Jan 1855,80,N,13,0,39,32,
23 Jan 1855,80,N,11,0,,,
23 Jan 1855,81,S,0,11,22,0,
27 Jan 1855,,,,,0,0,
29 Jan 1855,,,,,0,0,
30 Jan 1855,,,,,0,0,
,,,,,,,"Rn = 4.5, Rs = 14.1, R = 18.5."
10 Feb 1855,82,S,0,18,18,16,
12 Feb 1855,82,S,0,17,17,16,
14 Feb 1855,82,S,0,16,16,24,
15 Feb 1855,82,S,0,13,13,12,
16 Feb 1855,82,S,0,13,13,16,
17 Feb 1855,82,S,0,11,11,16,
20 Feb 1855,,,,,0,14,
21 Feb 1855,,,,,0,0,
24 Feb 1855,83,N,11,0,11,0,
,,,,,,,"Rn = 1.1, Rs = 9.9, R = 11.0."
1 Mar 1855,84,N,17,0,17,17,
3 Mar 1855,84,N,34,0,34,30,
4 Mar 1855,84,N,20,0,,,
4 Mar 1855,85,S,0,12,32,44,
5 Mar 1855,84,N,16,0,,,
5 Mar 1855,85,S,0,12,28,33,
6 Mar 1855,84,N,18,0,,,
6 Mar 1855,85,S,0,13,,,
6 Mar 1855,86,S,0,11,42,29,
7 Mar 1855,84,N,16,0,,,
7 Mar 1855,85,S,0,11,,,
7 Mar 1855,86,S,0,11,38,18,
12 Mar 1855,86,S,0,12,12,15,
13 Mar 1855,86,S,0,11,11,14,
16 Mar 1855,86,S,0,11,11,11,
19 Mar 1855,,,,,0,0,
20 Mar 1855,,,,,0,0,
26 Mar 1855,87,N,11,0,11,16,
27 Mar 1855,87,N,12,0,12,23,
29 Mar 1855,,,,,0,15,
30 Mar 1855,88,N,16,0,16,16,
31 Mar 1855,,,,,0,21,
,,,,,,,"Rn = 10.0, Rs = 6.5, R = 16.5."
2 Apr 1855,89,S,0,11,,,
2 Apr 1855,88,N,11,0,22,15,
4 Apr 1855,,,,,0,14,
5 Apr 1855,90,S,0,11,11,11,
8 Apr 1855,,,,,0,0,
10 Apr 1855,,,,,0,0,
11 Apr 1855,,,,,0,0,
12 Apr 1855,,,,,0,0,
14 Apr 1855,,,,,0,0,
15 Apr 1855,,,,,0,0,
16 Apr 1855,,,,,0,0,
17 Apr 1855,,,,,0,0,
18 Apr 1855,,,,,0,0,
19 Apr 1855,91,N,11,0,11,0,
20 Apr 1855,91,N,11,0,11,0,
21 Apr 1855,,,,,0,0,
22 Apr 1855,,,,,0,0,
23 Apr 1855,,,,,0,0,
24 Apr 1855,,,,,0,0,
26 Apr 1855,92,S,0,11,11,11,
27 Apr 1855,92,S,0,13,13,16,
28 Apr 1855,92,S,0,14,14,0,
30 Apr 1855,,,,,0,0,
,,,,,,,"Rn = 1.5, Rs = 2.7, R = 4.2."
2 May 1855,93,N,17,0,,,
2 May 1855,95,N,12,0,29,28,"Single in drawing. C's note: ""double dot observed twice"" (double in whole disc drawing)."
3 May 1855,93,N,19,0,,,
3 May 1855,94,N,12,0,,,
3 May 1855,95,N,12,0,43,44,"Single in drawing, but C's note describes 95 as a ""double dot observed twice""."
5 May 1855,93,N,13,0,,,
5 May 1855,94,N,18,0,31,28,
8 May 1855,,,,,0,12,
9 May 1855,,,,,0,0,
12 May 1855,,,,,0,0,
20 May 1855,96,N,11,0,11,13,
24 May 1855,,,,,0,0,
25 May 1855,,,,,0,0,
26 May 1855,,,,,0,0,
27 May 1855,,,,,0,0,
29 May 1855,,,,,0,0,
30 May 1855,,,,,0,0,
,,,,,,,"Rn = 8.8, Rs = 0, R = 8.8."
2 Jun 1855,,,,,0,0,
4 Jun 1855,,,,,0,0,
5 Jun 1855,,,,,0,0,
6 Jun 1855,,,,,0,0,
7 Jun 1855,,,,,0,0,
9 Jun1855,97,N,13,0,13,17,
10 Jun 1855,97,N,15,0,15,18,
11 Jun 1855,97,N,18,0,18,25,
14 Jun 1855,97,N,15,0,15,21,
16 Jun 1855,97,N,13,0,13,0,Drawing ambiguous as to date of third component - see below.
17 Jun 1855,,,,,0,0,"Dot shown on today's drawing, but no measurement - see yesterday's note."
18 Jun 1855,,,,,0,0,
19 Jun 1855,,,,,0,0,
20 Jun 1855,,,,,0,0,
21 Jun 1855,,,,,0,0,
22 Jun 1855,,,,,0,0,
24 Jun 1855,,,,,0,0,
25 Jun 1855,,,,,0,0,
26 Jun 1855,,,,,0,0,
27 Jun 1855,,,,,0,0,
28 Jun 1855,,,,,0,0,
29 Jun 1855,,,,,0,0,
30 Jun 1855,,,,,0,0,
,,,,,,,"Rn = 3.2, Rs = 0, R = 3.2."
1 Jul 1855,,,,,0,0,
2 Jul 1855,,,,,0,0,
3 Jul 1855,,,,,0,0,
4 Jul 1855,,,,,0,0,
5 Jul 1855,,,,,0,0,
6 Jul 1855,,,,,0,0,
7 Jul 1855,,,,,0,0,
8 Jul 1855,,,,,0,0,
10 Jul 1855,,,,,0,0,
12 Jul 1855,,,,,0,0,
13 Jul 1855,,,,,0,11,
14 Jul 1855,,,,,0,0,
15 Jul 1855,,,,,0,0,
16 Jul 1855,,,,,0,0,
18 Jul 1855,,,,,0,0,
20 Jul 1855,,,,,0,0,
21 Jul 1855,,,,,0,0,
23 Jul 1855,,,,,0,0,
24 Jul 1855,98,S,0,12,12,0,This spot not seen by W.
25 Jul 1855,,,,,0,0,
27 Jul 1855,,,,,0,0,
29 Jul 1855,,,,,0,0,
30 Jul 1855,,,,,0,0,
,,,,,,,"Rn = 0, Rs = 0.5, R = 0.5."
1 Aug 1855,,,,,0,0,
2 Aug 1855,,,,,0,0,
3 Aug 1855,,,,,0,0,
4 Aug 1855,99,N,16,,16,18,
5 Aug 1855,99,N,19,,19,21,
6 Aug 1855,99,N,23,,23,18,
7 Aug 1855,99,N,18,,18,15,
8 Aug 1855,99,N,13,,13,14,
9 Aug 1855,99,N,11,,11,0,
10 Aug 1855,,,,,0,0,
11 Aug 1855,,,,,0,0,
12 Aug 1855,,,,,0,0,
13 Aug 1855,100,N,11,,11,11,
15 Aug 1855,,,,,0,0,
16 Aug 1855,,,,,0,0,
17 Aug 1855,,,,,0,0,
18 Aug 1855,,,,,0,0,
19 Aug 1855,,,,,0,0,
21 Aug 1855,,,,,0,0,
22 Aug 1855,,,,,0,0,
23 Aug 1855,,,,,0,0,
24 Aug 1855,,,,,0,0,
25 Aug 1855,,,,,0,0,
26 Aug 1855,,,,,0,0,
27 Aug 1855,,,,,0,0,
28 Aug 1855,,,,,0,0,
29 Aug 1855,,,,,0,0,
30 Aug 1855,,,,,0,0,
31 Aug 1855,,,,,0,0,
,,,,,,,"Rn = 3.8, Rs = 0, R = 3.8."
1 Sep 1855,,,,,0,0,
3 Sep 1855,,,,,0,0,
4 Sep 1855,,,,,0,0,
5 Sep 1855,,,,,0,0,
6 Sep 1855,,,,,0,0,
9 Sep 1855,,,,,0,0,
11 Sep 1855,,,,,0,0,
12 Sep 1855,,,,,0,0,
13 Sep 1855,,,,,0,0,
16 Sep 1855,,,,,0,0,
19 Sep 1855,101,N,11,0,11,0,
20 Sep 1855,,,,,0,0,
21 Sep 1855,,,,,0,0,
23 Sep 1855,,,,,0,0,
24 Sep 1855,,,,,0,0,
25 Sep 1855,,,,,0,0,
26 Sep 1855,,,,,0,0,
,,,,,,,"Rn = 0.6, Rs = 0, R = 0.6."
1 Oct 1855,,,,,0,0,
2 Oct 1855,102,S,0,14,14,13,
4 Oct 1855,102,S,0,14,,,
4 Oct 1855,103,S,0,12,26,28,
8 Oct 1855,,,,,0,0,
9 Oct 1855,,,,,0,0,
10 Oct 1855,,,,,0,0,
13 Oct 1855,104,S,0,12,12,11,
14 Oct 1855,,,,,0,0,
15 Oct 1855,,,,,0,0,
16 Oct 1855,,,,,0,0,
17 Oct 1855,105,S,0,13,13,11,
18 Oct 1855,105,S,0,12,12,11,
20 Oct 1855,105,S,0,15,,,One of C's positions clearly relates to 106 (which is probably a single spot).
20 Oct 1855,106,N,11,0,26,17,106 v. close to disc centre. Drawing single. Two measures of same spot?
24 Oct 1855,107,N,11,0,11,14,
27 Oct 1855,107,N,11,0,11,11,
28 Oct 1855,107,N,11,0,11,11,
,,,,,,,"Rn = 2.8, Rs = 5.7, R = 8.5."
1 Nov 1855,,,,,0,11,
4 Nov 1855,,,,,0,0,
5 Nov 1855,,,,,0,0,
6 Nov 1855,,,,,0,0,
9 Nov 1855,,,,,0,0,
14 Nov 1855,,,,,0,0,
15 Nov 1855,,,,,0,0,
16 Nov 1855,,,,,0,0,
22 Nov 1855,,,,,0,0,
23 Nov 1855,,,,,0,0,
26 Nov 1855,,,,,0,0,
27 Nov 1855,,,,,0,0,
30 Nov 1855,108,N,20,0,20,19,
,,,,,,,"Rn = 1.5, Rs = 0, R = 1.5."
2 Dec 1855,108,N,29,0,29,18,
3 Dec 1855,108,N,18,0,18,18,
5 Dec 1855,,,,,0,0,
6 Dec 1855,,,,,0,0,
7 Dec 1855,,,,,0,0,
8 Dec 1855,,,,,0,0,
11 Dec 1855,,,,,0,11,
12 Dec 1855,,,,,0,0,
13 Dec 1855,,,,,0,0,
16 Dec 1855,,,,,0,0,
18 Dec 1855,,,,,0,0,
19 Dec 1855,,,,,0,0,
20 Dec 1855,109,S,0,14,,,
20 Dec 1855,110,N,12,0,26,0,Neither 109 nor 110 seen by Wolf.
21 Dec 1855,,,,,0,0,
22 Dec 1855,,,,,0,0,
24 Dec 1855,,,,,0,0,
25 Dec 1855,,,,,0,0,
27 Dec 1855,,,,,0,0,
28 Dec 1855,,,,,0,0,
29 Dec 1855,,,,,0,0,
30 Dec 1855,,,,,0,0,
31 Dec 1855,,,,,0,0,
,,,,,,,"Rn = 2.7, Rs = 0.6, R = 3.3."
6 Jan 1856,,,,,0,0,
7 Jan 1856,,,,,0,0,
10 Jan 1856,,,,,0,0,
12 Jan 1856,,,,,0,0,
13 Jan 1856,,,,,0,0,
14 Jan 1856,,,,,0,0,
15 Jan 1856,,,,,0,0,
23 Jan 1856,,,,,0,0,
25 Jan 1856,,,,,0,0,
27 Jan 1856,,,,,0,0,
28 Jan 1856,,,,,0,0,
29 Jan 1856,,,,,0,0,
,,,,,,,"Rn = 0, Rs = 0, R = 0."
3 Feb 1856,,,,,0,0,
5 Feb 1856,,,,,0,0,
9 Feb 1856,111,N,14,,14,16,
14 Feb 1856,,,,,0,0,
16 Feb 1856,,,,,0,0,
23 Feb 1856,112,N,12,,12,15,"No drawing, but two measures."
,,,,,,,"Rn = 4.3, Rs = 0, R = 4.3."
5 Mar 1856,,,,,0,0,
8 Mar 1856,,,,,0,0,
10 Mar 1856,,,,,0,0,
12 Mar 1856,,,,,0,0,
13 Mar 1856,,,,,0,0,
16 Mar 1856,,,,,0,12,
19 Mar 1856,,,,,0,0,
20 Mar 1856,,,,,0,0,
22 Mar 1856,,,,,0,0,
23 Mar 1856,,,,,0,0,
24 Mar 1856,,,,,0,0,
27 Mar 1856,,,,,0,0,
28 Mar 1856,,,,,0,0,
29 Mar 1856,,,,,0,0,
30 Mar 1856,,,,,0,0,
31 Mar 1856,,,,,0,0,
,,,,,,,"Rn = 0, Rs = 0, R = 0."
1 Apr 1856,,,,,0,0,
2 Apr 1856,,,,,0,0,
4 Apr 1856,,,,,0,0,
5 Apr 1856,,,,,0,0,
7 Apr 1856,,,,,0,0,
10 Apr 1856,113,S,,12,12,12,
16 Apr 1856,113,S,,14,14,16,
17 Apr 1856,113,S,,11,11,15,
18 Apr 1856,113,S,,11,11,11,
19 Apr 1856,113,S,,11,,,
19 Apr 1856,114,N,13,,24,16,
20 Apr 1856,113,S,,11,,,
20 Apr 1856,114,N,14,,25,27,
21 Apr 1856,114,N,13,,13,12,
23 Apr 1856,,,,,0,0,
24 Apr 1856,,,,,0,0,
25 Apr 1856,,,,,0,0,
26 Apr 1856,,,,,0,0,
28 Apr 1856,,,,,0,0,
30 Apr 1856,,,,,0,0,
,,,,,,,"Rn = 2.2, Rs = 3.9, R = 6.1."
2 May 1856,,,,,0,0,
3 May 1856,,,,,0,0,
4 May 1856,,,,,0,0,
5 May 1856,,,,,0,0,
10 May 1856,,,,,0,0,
11 May 1856,,,,,0,0,
13 May 1856,,,,,0,0,
14 May 1856,,,,,0,0,
15 May 1856,,,,,0,0,
16 May 1856,,,,,0,0,
17 May 1856,,,,,0,0,
18 May 1856,,,,,0,0,
19 May 1856,,,,,0,0,
20 May 1856,,,,,0,0,
21 May 1856,,,,,0,0,
25 May 1856,,,,,0,0,
26 May 1856,,,,,0,0,
27 May 1856,,,,,0,0,
28 May 1856,115,N,11,,11,0,Not seen by W.
29 May 1856,,,,,0,0,
30 May 1856,,,,,0,0,
,,,,,,,"Rn = 0.5, Rs = 0, R = 0.5."
1 Jun 1856,,,,,0,0,
2 Jun 1856,116,S,,12,12,12,
3 Jun 1856,116,S,,13,,,
3 Jun 1856,117,N,14,,27,13,
4 Jun 1856,116,S,,11,,,
4 Jun 1856,117,N,13,,24,29,
6 Jun 1856,116,S,,11,,,
6 Jun 1856,117,N,15,,26,23,
9 Jun 1856,118,N,13,,13,15,
10 Jun 1856,118,N,12,,,,"Only one spot in drawing, but two measured."
10 Jun 1856,119,N,12,,24,22,
11 Jun 1856,,,,,0,0,
15 Jun 1856,,,,,0,0,
16 Jun 1856,,,,,0,0,
20 Jun 1856,,,,,0,0,
21 Jun 1856,,,,,0,0,
24 Jun 1856,,,,,0,0,
25 Jun 1856,,,,,0,0,
26 Jun 1856,,,,,0,0,
27 Jun 1856,,,,,0,0,
28 Jun 1856,,,,,0,0,
29 Jun 1856,,,,,0,0,
30 Jun 1856,,,,,0,0,
,,,,,,,"Rn = 4.2, Rs = 2.5, R = 6.7."
1 Jul 1856,,,,,0,0,
2 Jul 1856,,,,,0,0,
3 Jul 1856,,,,,0,12,
4 Jul 1856,,,,,0,11,
5 Jul 1856,,,,,0,0,
6 Jul 1856,,,,,0,0,
9 Jul 1856,,,,,0,0,
10 Jul 1856,,,,,0,0,
15 Jul 1856,,,,,0,0,
16 Jul 1856,,,,,0,0,
17 Jul 1856,,,,,0,0,
19 Jul 1856,,,,,0,0,
21 Jul 1856,,,,,0,0,
22 Jul 1856,121,N,11,,11,0,
23 Jul 1856,121,N,11,,11,11,
24 Jul 1856,121,N,12,,12,13,
25 Jul 1856,121,N,15,,15,15,
26 Jul 1856,121,N,13,,13,14,
28 Jul 1856,121,N,14,,14,12,
29 Jul 1856,121,N,15,,15,14,
30 Jul 1856,121,N,14,,14,15,
31 Jul 1856,121,N,13,,13,13,
,,,,,,,"Rn = 5.4, Rs = 0, R = 5.4."
1 Aug 1856,,,,,0,11,
2 Aug 1856,,,,,0,0,
3 Aug 1856,122,N,11,,11,0,Not seen by W.
4 Aug 1856,,,,,0,0,
5 Aug 1856,,,,,0,0,
6 Aug 1856,,,,,0,0,
7 Aug 1856,,,,,0,0,
